Year,Units,age group,sex,victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,number,,male,family member,,,,85
2013,number,,male,family member,,,,55
2014,number,,male,family member,,,,69
2015,number,,male,family member,,,,59
2016,number,,male,family member,,,,70
2017,number,,male,family member,,,,69
2018,number,,male,family member,,,,78
2019,number,,male,family member,,,,62
2020,number,,male,family member,,,,76
2021,number,,male,family member,,,,65
2022,number,,male,family member,,,,52
2023,number,,male,family member,,,,64
2024,number,,male,family member,,,,75
